id,name,lat,lon,postal_code,street,status,slug
119069,Adam Road Food Centre,1.3241598522323794,103.81416592401631,289876,Adam Road,Existing,adam-road-food-centre
119151,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.3206463677515854,103.88702413972793,380117,Aljunied Ave 2,Existing,aljunied-ave-2-blk-117-blk-117-aljunied-market-and-food-centre
119091,Amoy Street Food Centre (Telok Ayer Food Centre),1.2792312094873002,103.84661927383159,069111,MAXWELL ROAD,Existing,amoy-street-food-centre-telok-ayer-food-centre
119165,Anchorvale Village Hawker Centre,1.3967931535173355,103.88843734465244,540339,Anchorvale Road,Existing (new),anchorvale-village-hawker-centre
119059,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.366800962194856,103.83915227449918,564226,Ang Mo Kio Ave 1,Existing,ang-mo-kio-ave-1-blk-226d-kebun-baru-market-and-food-centre
119141,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.36410720947631,103.84824216615792,560341,Ang Mo Kio Ave 1,Existing,ang-mo-kio-ave-1-blk-341-teck-ghee-court
119042,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.3626541076693122,103.85528829790343,560409,Ang Mo Kio Ave 10,Existing,ang-mo-kio-ave-10-blk-409-teck-ghee-square
119157,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.3682477885076516,103.85636164972811,561453,Ang Mo Kio Ave 10,Existing,ang-mo-kio-ave-10-blk-453a-chong-boon-market-and-food-centre
119116,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.3727720934379934,103.85445795532793,560527,Ang Mo Kio Ave 10,Existing,ang-mo-kio-ave-10-blk-527-cheng-san-market-and-cooked-food-centre
119052,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.3745277374668692,103.83917606128082,560160,Ang Mo Kio Ave 4,Existing,ang-mo-kio-ave-4-blk-160162-mayflower-market
119068,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.3809876170167132,103.8406280871954,560628,Ang Mo Kio Ave 4,Existing,ang-mo-kio-ave-4-blk-628-ang-mo-kio-628-market
119084,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.3721725853422009,103.84651030979788,560724,Ang Mo Kio Ave 6,Existing,ang-mo-kio-ave-6-blk-724-blk-724-ang-mo-kio-market
119049,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.3671965379048148,103.8400222235967,568226,Ang Mo Kio Street 22,Existing,ang-mo-kio-street-22-blk-226h-kebun-baru-food-centre
119090,Bedok Food Centre,1.320350159875293,103.95547759902762,469572,Bedok Road,Existing,bedok-food-centre
119063,Bedok North Street 1 Blk 216,1.3270627418405785,103.93321797031916,460216,Bedok North Street 1,Existing,bedok-north-street-1-blk-216
119082,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.3332199326945382,103.93058152248236,460511,Bedok North Street 3,Existing,bedok-north-street-3-blk-511-kaki-bukit-511-market-and-food-centre
119066,Bedok North Street 3 Blk 538,1.3320672771423439,103.92462131526736,460538,Bedok North Street 3,Existing,bedok-north-street-3-blk-538
119119,Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.3320048242420148,103.93876843904202,460085,Bedok North Street 4,Existing,bedok-north-street-4-blk-85-85-fengshan-centre
119160,Bedok Reservoir Road Blk 630,1.332772792382345,103.91419083989796,470630,Bedok Reservoir Road,Existing,bedok-reservoir-road-blk-630
119113,Bedok South Road Blk 16,1.3205008376701182,103.93547363751794,460016,Bedok South Road,Existing,bedok-south-road-blk-16
119115,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31921667863285,103.86302092286022,330029,Bendemeer Road,Existing,bendemeer-road-blk-29-bendemeer-market-and-food-centre
119055,Beo Crescent Market,1.2888308915646167,103.8273538919747,169982,Beo Crescent,Existing,beo-crescent-market
119118,Berseh Food Centre,1.307344109232522,103.85688878360739,208877,Jalan Besar,Existing,berseh-food-centre
119148,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.3452240653958958,103.71280068056076,641221,Boon Lay Place,Existing,boon-lay-place-blk-221ab-boon-lay-place-market-and-food-village
119061,Buangkok Hawker Centre,1.3829816322433666,103.89272100789816,544692,Compassvale Bow,Existing (new),buangkok-hawker-centre
119087,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.3061866381546818,103.8505855697116,210665,Buffalo Road,Existing,buffalo-road-blk-665-tekka-centrezhu-jiao-market
119138,Bukit Batok West Hawker Centre,1.3554458319148786,103.74207854445496,651469,Bukit Batok West Avenue 9,Existing (new),bukit-batok-west-hawker-centre
119107,Bukit Canberra Hawker Centre,1.4482633636853246,103.8227636322519,756973,Canberra Link,Existing (new),bukit-canberra-hawker-centre
119147,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.2836613955382454,103.81707271810343,150163,Bukit Merah Central,Existing,bukit-merah-central-blk-163-bukit-merah-central-food-centre
119086,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.2863059431906378,103.8044926373283,150120,Bukit Merah Lane 1,Existing,bukit-merah-lane-1-blk-120-alexandra-village-food-centre
119140,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.2855044556549065,103.82182325630666,151115,Bukit Merah View,Existing,bukit-merah-view-blk-115-blk-115-bukit-merah-view-market-and-food-centre
119054,Bukit Panjang Hawker Centre,1.3775974234205033,103.7724915268977,679947,Bukit Panjang Ring Road,Existing (new),bukit-panjang-hawker-centre
119112,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.3161312806032646,103.85023293507001,211041,Cambridge Road,Existing,cambridge-road-blk-41a-pek-kio-market-and-food-centre
119080,Changi Village Blk 2 and 3,1.3891516483342807,103.98824524769368,500002,Changi Village Road,Existing,changi-village-blk-2-and-3
119085,Chomp Chomp Food Centre,1.3642325250966993,103.86652701707575,557269,Kensington Park Road,Existing,chomp-chomp-food-centre
119166,Ci Yuan Hawker Centre,1.3753225375634037,103.88293193010286,538776,Hougang Avenue 9,Existing (new),ci-yuan-hawker-centre
119089,Circuit Road Blk 79/79A,1.3265970669755378,103.88505228554148,370079,Circuit Road,Existing,circuit-road-blk-7979a
119131,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.3278341461996204,103.88710266901265,370080,Circuit Road,Existing,circuit-road-blk-80-80-circuit-road-market-and-food-centre
119132,Circuit Road Blk 89,1.3235797144355712,103.8854388424852,370089,Circuit Road,Existing,circuit-road-blk-89
119158,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.3143732849239704,103.77080549454163,120353,Clementi Ave 2,Existing,clementi-ave-2-blk-353-clementi-ave-2-marketcooked-food-centre
119108,Clementi Ave 3 Blk 448,1.3133196935787612,103.76451719252249,120448,Clementi Ave 3,Existing,clementi-ave-3-blk-448
119155,Clementi West Street 2 Blk 726,1.303810731977092,103.76425074802,120726,Clementi West Street 2,Existing,clementi-west-street-2-blk-726
119123,Commonwealth Crescent Market,1.3069001323584224,103.80036727142618,149644,Commonwealth Crescent,Existing,commonwealth-crescent-market
119050,Dunman Food Centre,1.3094178879625105,103.9018254078894,424768,Onan Road,Existing,dunman-food-centre
119146,East Coast Lagoon Food Village,1.3072610657579828,103.93479973740149,468960,East Coast Parkway,Existing,east-coast-lagoon-food-village
119043,Empress Road Blk 7 (Empress Road Market and Food Centre),1.3162405292821697,103.80563670047233,260007,Empress Road,Existing,empress-road-blk-7-empress-road-market-and-food-centre
119143,Eunos Crescent Blk 4A,1.3203312605225548,103.90425647876752,402004,Eunos Crescent,Existing,eunos-crescent-blk-4a
119139,Fernvale Hawker Centre & Market,1.3917019249885314,103.87698146168532,797650,Sengkang West Avenue,Existing (new),fernvale-hawker-centre-market
119046,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.321463110363858,103.87000501449864,330069,Geylang Bahru,Existing,geylang-bahru-blk-69-blk-69-geylang-bahru-market-and-food-centre
119109,Geylang Serai Market,1.316736349282815,103.89822788513564,402001,Geylang Serai,Existing,geylang-serai-market
119051,Ghim Moh Road Blk 20,1.3109966321422568,103.78823030670418,270020,Ghim Moh Road,Existing,ghim-moh-road-blk-20
119044,Golden Mile Food Centre,1.303141753061011,103.863877615715,199583,Beach Road,Existing,golden-mile-food-centre
119156,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.3151075206359577,103.89558794497685,430013,Haig Road,Existing,haig-road-blk-1314-haig-road-market-and-cooked-food-centre
119056,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.2879705166198658,103.8296234138997,161022,Havelock Road,Existing,havelock-road-blk-22ab-havelock-road-cooked-food-centre
119168,Hawker Centre @ Our Tampines Hub,1.3531335979472119,103.94040813551574,528523,Tampines Walk,Existing (new),hawker-centre-our-tampines-hub
119076,Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.3081177997946856,103.7927737690562,270044,Holland Drive,Existing,holland-drive-blk-44-holland-drive-market-and-food-centre
119079,Holland Village Market and Food Centre,1.3110729744341822,103.79487641992755,277700,Lorong Mambong,Existing,holland-village-market-and-food-centre
119154,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.3540827392695727,103.89013040811673,530105,Hougang Ave 1,Existing,hougang-ave-1-blk-105-hougang-105-hainanese-village-centre
119152,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.3590838409319475,103.88605536814947,530209,Hougang Street 21,Existing,hougang-street-21-blk-209-kovan-hougang-market-and-food-centre
119136,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.3023603479067136,103.88390947410478,432004,Jalan Batu,Existing,jalan-batu-blk-4a-blk-4a-jalan-batu-hawker-centremarket
119122,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.2800048011364626,103.82601329649792,160112,Jalan Bukit Merah,Existing,jalan-bukit-merah-blk-112-blk-112-jalan-bukit-merah-market-and-food-centre
119110,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.2868829730421196,103.8081312742836,150006,Jalan Bukit Merah,Existing,jalan-bukit-merah-blk-6-abc-brickworks-marketfood-centre
119135,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.2882310148481062,103.83993416821488,161001,Jalan Kukoh,Existing,jalan-kukoh-blk-1-kukoh-21-food-centre
119164,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.3454169827607771,103.73170383842115,600347,Jurong East Ave 1,Existing,jurong-east-ave-1-blk-347-yuhua-market-and-hawker-centre
119072,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.3434881852952274,103.73773841154456,600254,Jurong East Street 24,Existing,jurong-east-street-24-blk-254-yuhua-village-market-and-food-centre
119102,Jurong West Hawker Centre,1.3412641038830853,103.69724185257508,648202,Jurong West Street 61,Existing (new),jurong-west-hawker-centre
119047,Jurong West Street 52 Blk 505,1.3496572915944292,103.7184436782123,640505,Jurong West Street 52,Existing,jurong-west-street-52-blk-505
119070,Kallang Estate Fresh Market and Food Centre,1.307343983274556,103.88401769942449,397972,Old Airport Road,Existing,kallang-estate-fresh-market-and-food-centre
119120,Kampung Admiralty Hawker Centre,1.4397495181298368,103.80072071145584,730676,Woodlands Drive 71,Existing (new),kampung-admiralty-hawker-centre
119092,Margaret Drive Hawker Centre,1.2974865589089906,103.80469379769634,142038,Margaret Drive,Existing (replacement),margaret-drive-hawker-centre
119125,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),1.3022965558595991,103.90634383419179,440084,Marine Parade Central,Existing,marine-parade-central-blk-84-84-marine-parade-central-market-and-food-centre
119111,Marine Terrace Blk 50A (50A Marine Terrace),1.3057297360038187,103.91573703509026,441050,Marine Terrace,Existing,marine-terrace-blk-50a-50a-marine-terrace
119150,Market Street Hawker Centre,1.2839000647082708,103.85000596089957,048947,Market Street,Existing (replacement),market-street-hawker-centre
119126,Marsiling Lane Blk 20/21,1.4434162431254685,103.7770061037781,730020,Marsiling Lane,Existing,marsiling-lane-blk-2021
119075,Marsiling Mall Hawker Centre,1.4335431810333386,103.7798818923625,738623,Woodlands Street 12,Existing (replacement),marsiling-mall-hawker-centre
119134,Maxwell Food Centre (Kim Hua Market),1.2803314273259558,103.844747227493,069184,Kadayanallur Street,Existing,maxwell-food-centre-kim-hua-market
119048,Mei Chin Road Blk 159 (Mei Chin Road Market),1.2932362444197107,103.80290387146337,140159,Mei Chin Road,Existing,mei-chin-road-blk-159-mei-chin-road-market
119073,New Market Road Blk 32 (People's Park Food Centre),1.284858608203884,103.84257877119593,050032,New Market Road,Existing,new-market-road-blk-32-peoples-park-food-centre
119163,New Upper Changi Road Blk 208B,1.324782370224249,103.93057030470072,462208,New Upper Changi Road,Existing,new-upper-changi-road-blk-208b
119128,New Upper Changi Road Blk 58,1.3242008730218346,103.94112527731751,461058,New Upper Changi Road,Existing,new-upper-changi-road-blk-58
119064,Newton Food Centre,1.3119155203922301,103.83956972873328,229495,Clemenceau Ave North,Existing,newton-food-centre
119077,North Bridge Road Market,1.305634336272546,103.86390933661885,198783,North Bridge Road,Existing,north-bridge-road-market
119103,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.3082518466799975,103.88580870625425,390051,Old Airport Road,Existing,old-airport-road-blk-51-51-old-airport-road-food-centre-and-shopping-mall
119106,One Punggol Hawker Centre,1.4087476457286714,103.90516945745766,828629,Punggol Drive,Existing (new),one-punggol-hawker-centre
119100,Pasir Panjang Food Centre,1.2759179745717486,103.79141090894716,118543,Pasir Panjang Road,Existing,pasir-panjang-food-centre
119067,Pasir Ris Central Hawker Centre,1.373472520364779,103.95157134251521,519641,Pasir Ris Central,Existing (new),pasir-ris-central-hawker-centre
119093,Punggol Coast Hawker Centre,1.4145180096913892,103.90854260132319,829911,Punggol Way,Existing (new),punggol-coast-hawker-centre
119149,Queen Street Blk 270 (Albert Centre),1.3011020159948925,103.85411577872539,180270,Queen Street,Existing,queen-street-blk-270-albert-centre
119105,Redhill Lane Blk 79 (Redhill Market),1.2878431730128634,103.81835209769348,150079,Redhill Lane,Existing,redhill-lane-blk-79-redhill-market
119104,Redhill Lane Blk 85 (Redhill Food Centre),1.2873075147506794,103.81831119566189,150085,Redhill Lane,Existing,redhill-lane-blk-85-redhill-food-centre
119159,Sembawang Hills Food Centre (Jalan Leban Food Centre),1.3723194930318616,103.82901814509523,574419,Upper Thomson Road,Existing,sembawang-hills-food-centre-jalan-leban-food-centre
119145,Senja Hawker Centre,1.387194004486905,103.76108397650307,677632,Senja Close,Existing (new),senja-hawker-centre
119153,Serangoon Garden Market,1.3630850108080914,103.86672494953132,555945,Serangoon Garden Way,Existing,serangoon-garden-market
119161,Shunfu Road Blk 320 (Shunfu Mart),1.3520255700711772,103.8369645086122,570320,Shunfu Road,Existing,shunfu-road-blk-320-shunfu-mart
119062,Sims Place Blk 49 (Sims Vista Market and Food Centre),1.3170350238501258,103.87930985514092,380049,Sims Place,Existing,sims-place-blk-49-sims-vista-market-and-food-centre
119060,Smith Street Blk 335 (Chinatown Complex Market),1.2822749608841026,103.84323851850745,050335,Smith Street,Existing,smith-street-blk-335-chinatown-complex-market
119169,Taman Jurong Market and Food Centre,1.3347210666007077,103.72158379761716,618499,Yung Sheng Road,Existing,taman-jurong-market-and-food-centre
119058,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.3453734735523084,103.94462942285355,521137,Tampines Street 11,Existing,tampines-street-11-blk-137-tampines-round-market-and-food-centre
119117,Tanglin Halt Market,1.3005440753273743,103.79773798037208,148813,Tanglin Halt Road,Existing,tanglin-halt-market
119101,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.276613670144106,103.8431616772891,081006,Tanjong Pagar Plaza,Existing,tanjong-pagar-plaza-blk-6-blk-6-tanjong-pagar-plaza-market-and-food-centre
119162,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),1.3208310935185843,103.74274811937117,601037,Teban Gardens Road,Existing,teban-gardens-road-blk-37a-teban-gardens-market-and-food-centre
119133,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),1.2773681323059345,103.81865152419587,090011,Telok Blangah Crescent,Existing,telok-blangah-crescent-blk-11-11-telok-blangah-crescent-market-and-food-centre
119074,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.2733559939051546,103.80761812956985,100079,Telok Blangah Drive,Existing,telok-blangah-drive-blk-79-telok-blangah-food-centre
119083,Telok Blangah Drive Blk 82 (Telok Blangah Market),1.2738907675844822,103.80790033728778,100082,Telok Blangah Drive,Existing,telok-blangah-drive-blk-82-telok-blangah-market
119167,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.2727612859808173,103.82236354225992,090036,Telok Blangah Rise,Existing,telok-blangah-rise-blk-36-telok-blangah-rise-market
119041,Tiong Bahru Market,1.2847855982150984,103.83218154655142,168898,Seng Poh Road,Existing,tiong-bahru-market
119088,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.3381035143692974,103.84473272633905,310127,Lorong 1 Toa Payoh,Existing,toa-payoh-lorong-1-blk-127-toa-payoh-west-market-and-food-court
119142,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),1.3345507486923793,103.85200350902804,310074,Lorong 4 Toa Payoh,Existing,toa-payoh-lorong-4-blk-74-toa-payoh-vista-market
119078,Toa Payoh Lorong 4 Blk 93,1.3384746963913283,103.84951344899093,310093,Lorong 4 Toa Payoh,Existing,toa-payoh-lorong-4-blk-93
119137,Toa Payoh Lorong 5 Blk 75,1.3360207676183897,103.85295698796516,310075,Lorong 5 Toa Payoh,Existing,toa-payoh-lorong-5-blk-75
119057,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.335382613078359,103.85700370906183,310022,Lorong 7 Toa Payoh,Existing,toa-payoh-lorong-7-blk-22-kim-keat-palm-market-and-food-centre
119121,Toa Payoh Lorong 8 Blk 210,1.3402610465757185,103.85439575904685,310210,Lorong 8 Toa Payoh,Existing,toa-payoh-lorong-8-blk-210
119081,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.3150284150824152,103.87162041651013,380017,Upper Boon Keng Road,Existing,upper-boon-keng-road-blk-17-blk-17-upper-boon-keng-market-and-food-centre
119124,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.2852950787883,103.84582428335005,051531,Upper Cross Street,Existing,upper-cross-street-blk-531a-hong-lim-food-centre-and-market
119053,West Coast Drive Blk 502 (Ayer Rajah Market),1.3119069571999333,103.7591280191558,120502,West Coast Drive,Existing,west-coast-drive-blk-502-ayer-rajah-market
119065,West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.3118030896284905,103.75975140548066,120503,West Coast Drive,Existing,west-coast-drive-blk-503-ayer-rajah-food-centre
119099,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.323064938171913,103.85499618356134,320090,Whampoa Drive,Existing,whampoa-drive-blk-90-whampoa-drive-makan-placewhampoa-food-centre
119127,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.323428186962711,103.85406019787618,320091,Whampoa Drive,Existing,whampoa-drive-blk-9192-whampoa-drive-makan-placewhampoa-market
119144,Woodleigh Village Hawker Centre,1.3397910139953648,103.8720137732096,363202,Woodleigh Link,Existing (new),woodleigh-village-hawker-centre
119129,Yishun Park Hawker Centre,1.4249878627577708,103.84474752510276,768867,Yishun Avenue 11,Existing (new),yishun-park-hawker-centre
119071,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.4314477516178066,103.82853767194467,760104,Yishun Ring Road,Existing,yishun-ring-road-blk-104105-chong-pang-market-and-food-centre
119130,Zion Riverside Food Centre,1.2923422109888436,103.8311890232012,247792,Zion Road,Existing,zion-riverside-food-centre
